degree_id	academic	year	school
1	1	1933	288
2	2	1936	288
3	3	1939	288
4	4	1941	288
5	5	1942	288
6	6	1945	288
7	7	1948	288
8	8	1948	288
9	9	1949	288
10	10	1949	288
11	11	1949	288
12	12	1950	288
13	13	1950	288
14	14	1950	288
15	15	1951	288
16	16	1951	288
17	17	1951	288
18	18	1951	288
19	19	1952	288
20	20	1952	288
21	21	1952	288
22	22	1952	288
23	23	1952	288
24	24	1952	288
25	25	1952	288
26	26	1953	288
27	27	1953	288
28	28	1953	288
29	29	1954	288
30	30	1954	288
31	31	1954	288
32	32	1955	288
33	33	1955	288
34	34	1955	288
35	35	1955	288
36	36	1957	288
37	37	1958	288
38	38	1958	288
39	39	1958	288
40	40	1958	288
41	41	1958	288
42	42	1958	288
43	43	1959	288
44	44	1959	288
45	45	1959	288
46	46	1959	288
47	47	1959	288
48	48	1960	288
49	49	1960	288
50	50	1960	288
51	51	1960	288
52	52	1961	288
53	53	1961	288
54	54	1962	288
55	55	1962	288
56	56	1962	288
57	57	1962	288
58	58	1962	288
59	59	1993	1375
60	60	1962	288
61	61	1962	288
62	62	1962	288
63	63	1962	288
64	64	1962	288
65	65	1963	288
66	66	1963	288
67	67	1963	288
68	68	1963	288
69	69	1963	288
70	70	1963	288
71	71	1963	288
72	72	1963	288
73	73	1963	288
74	74	1964	288
75	75	1964	288
76	76	1964	288
77	77	1964	288
78	78	1964	288
79	79	1964	288
80	80	1964	288
81	81	1965	288
82	82	1965	288
83	83	1965	288
84	84	1965	288
85	85	1965	288
86	86	1965	288
87	87	1966	288
88	88	1966	288
89	89	1966	288
90	90	1966	288
91	91	1966	288
92	92	1966	288
93	93	1966	288
94	94	1966	288
95	95	1966	288
96	96	1967	288
97	97	1967	288
98	98	1967	288
99	99	1967	288
100	100	1967	288
101	101	1967	288
102	102	1968	288
103	103	1968	288
104	104	1968	288
105	105	1968	288
106	106	1968	288
107	107	1968	288
108	108	1968	288
109	109	1968	288
110	110	1968	288
111	111	1968	288
112	112	1969	288
113	113	1969	288
114	114	1969	288
115	115	1969	288
116	116	1969	288
117	117	1969	288
118	118	1969	288
119	119	1969	288
120	120	1969	288
121	121	1969	288
122	122	1969	288
123	123	1970	288
124	124	1970	288
125	125	1949	1016
126	126	1970	288
127	127	1970	288
128	128	1970	288
129	129	1971	288
130	130	1971	288
131	131	1971	288
132	132	1971	288
133	133	1971	288
134	134	1971	288
